,train,val,test
0,normal_145,normal_004,test_001
1,normal_083,normal_081,test_002
2,normal_110,normal_126,test_003
3,normal_133,normal_055,test_004
4,normal_093,normal_070,test_005
5,normal_095,normal_139,test_006
6,normal_087,normal_014,test_007
7,normal_101,normal_035,test_008
8,normal_048,normal_008,test_009
9,normal_057,normal_157,test_010
10,normal_046,normal_158,test_011
11,normal_020,normal_016,test_012
12,normal_098,normal_017,test_013
13,normal_092,normal_078,test_014
14,normal_111,normal_141,test_015
15,normal_137,normal_099,test_016
16,normal_060,normal_114,test_017
17,normal_006,normal_094,test_018
18,normal_147,normal_135,test_019
19,normal_007,normal_142,test_020
20,normal_064,normal_013,test_021
21,normal_096,normal_122,test_022
22,normal_156,normal_024,test_023
23,normal_072,normal_044,test_024
24,normal_105,tumor_041,test_025
25,normal_097,tumor_060,test_026
26,normal_028,tumor_021,test_027
27,normal_009,normal_144,test_028
28,normal_041,tumor_024,test_029
29,normal_002,normal_011,test_030
30,normal_021,tumor_080,test_031
31,normal_058,tumor_067,test_032
32,normal_106,tumor_098,test_033
33,normal_085,tumor_108,test_034
34,normal_155,tumor_061,test_035
35,normal_061,tumor_043,test_036
36,normal_012,tumor_027,test_037
37,normal_073,tumor_054,test_038
38,normal_090,tumor_006,test_039
39,normal_023,tumor_085,test_040
40,normal_053,tumor_010,test_041
41,normal_152,tumor_062,test_042
42,normal_148,,test_043
43,normal_059,,test_044
44,normal_027,,test_045
45,normal_109,,test_046
46,normal_018,,test_047
47,normal_056,,test_048
48,normal_088,,test_050
49,normal_100,,test_051
50,normal_045,,test_052
51,normal_121,,test_053
52,normal_125,,test_054
53,normal_077,,test_055
54,normal_039,,test_056
55,normal_103,,test_057
56,normal_066,,test_058
57,normal_112,,test_059
58,normal_010,,test_060
59,normal_113,,test_061
60,normal_123,,test_062
61,normal_029,,test_063
62,normal_124,,test_064
63,normal_065,,test_065
64,normal_150,,test_066
65,normal_063,,test_067
66,normal_080,,test_068
67,normal_115,,test_069
68,normal_026,,test_070
69,normal_038,,test_071
70,normal_136,,test_072
71,normal_030,,test_073
72,normal_119,,test_074
73,normal_151,,test_075
74,normal_025,,test_076
75,normal_134,,test_077
76,normal_047,,test_078
77,normal_089,,test_079
78,normal_074,,test_080
79,normal_130,,test_081
80,normal_159,,test_082
81,normal_127,,test_083
82,normal_128,,test_084
83,normal_001,,test_085
84,normal_050,,test_086
85,normal_117,,test_087
86,normal_160,,test_088
87,normal_032,,test_089
88,normal_031,,test_090
89,normal_043,,test_091
90,normal_149,,test_092
91,normal_079,,test_093
92,normal_108,,test_094
93,normal_076,,test_095
94,normal_040,,test_096
95,normal_082,,test_097
96,normal_075,,test_098
97,normal_069,,test_099
98,normal_036,,test_100
99,normal_068,,test_101
100,normal_153,,test_102
101,normal_049,,test_103
102,normal_015,,test_104
103,normal_132,,test_105
104,normal_120,,test_106
105,normal_033,,test_107
106,normal_005,,test_108
107,normal_084,,test_109
108,normal_146,,test_110
109,normal_019,,test_111
110,normal_138,,test_112
111,normal_143,,test_113
112,normal_034,,test_114
113,normal_067,,test_115
114,normal_131,,test_116
115,normal_118,,test_117
116,normal_140,,test_118
117,normal_116,,test_119
118,normal_042,,test_120
119,normal_107,,test_121
120,normal_051,,test_122
121,normal_037,,test_123
122,normal_091,,test_124
123,normal_104,,test_125
124,normal_102,,test_126
125,normal_071,,test_127
126,normal_052,,test_128
127,normal_022,,test_129
128,normal_154,,test_130
129,normal_054,,
130,normal_062,,
131,normal_003,,
132,normal_129,,
133,tumor_110,,
134,tumor_103,,
135,tumor_025,,
136,tumor_007,,
137,tumor_066,,
138,tumor_030,,
139,tumor_076,,
140,tumor_079,,
141,tumor_058,,
142,tumor_065,,
143,tumor_017,,
144,tumor_096,,
145,tumor_097,,
146,tumor_034,,
147,tumor_002,,
148,tumor_109,,
149,tumor_064,,
150,tumor_051,,
151,tumor_101,,
152,tumor_026,,
153,tumor_045,,
154,tumor_042,,
155,tumor_059,,
156,tumor_087,,
157,tumor_050,,
158,tumor_039,,
159,tumor_082,,
160,tumor_013,,
161,tumor_092,,
162,tumor_032,,
163,tumor_038,,
164,tumor_111,,
165,tumor_068,,
166,tumor_091,,
167,tumor_090,,
168,tumor_052,,
169,tumor_100,,
170,tumor_095,,
171,tumor_011,,
172,tumor_018,,
173,tumor_074,,
174,tumor_104,,
175,tumor_077,,
176,tumor_106,,
177,tumor_078,,
178,tumor_093,,
179,tumor_053,,
180,tumor_012,,
181,tumor_020,,
182,tumor_036,,
183,tumor_008,,
184,tumor_004,,
185,tumor_022,,
186,tumor_071,,
187,tumor_019,,
188,tumor_001,,
189,tumor_028,,
190,tumor_048,,
191,tumor_075,,
192,tumor_049,,
193,tumor_005,,
194,tumor_009,,
195,tumor_023,,
196,tumor_031,,
197,tumor_055,,
198,tumor_033,,
199,tumor_094,,
200,tumor_069,,
201,tumor_084,,
202,tumor_040,,
203,tumor_086,,
204,tumor_029,,
205,tumor_044,,
206,tumor_072,,
207,tumor_056,,
208,tumor_070,,
209,tumor_037,,
210,tumor_107,,
211,tumor_063,,
212,tumor_047,,
213,tumor_016,,
214,tumor_105,,
215,tumor_046,,
216,tumor_073,,
217,tumor_003,,
218,tumor_088,,
219,tumor_102,,
220,tumor_099,,
221,tumor_089,,
222,tumor_015,,
223,tumor_014,,
224,tumor_083,,
225,tumor_035,,
226,tumor_057,,
227,tumor_081,,
