,train,val,test
0,normal_145,normal_042,test_001
1,normal_083,normal_051,test_002
2,normal_110,normal_084,test_003
3,normal_133,normal_132,test_004
4,normal_093,normal_016,test_005
5,normal_095,normal_010,test_006
6,normal_114,normal_113,test_007
7,normal_013,normal_141,test_008
8,normal_048,normal_090,test_009
9,normal_017,normal_119,test_010
10,normal_057,normal_065,test_011
11,normal_046,normal_096,test_012
12,normal_098,normal_087,test_013
13,normal_092,normal_120,test_014
14,normal_111,normal_075,test_015
15,normal_137,normal_101,test_016
16,normal_060,normal_037,test_017
17,normal_006,normal_036,test_018
18,normal_007,normal_020,test_019
19,normal_064,normal_080,test_020
20,normal_156,normal_108,test_021
21,normal_072,normal_147,test_022
22,normal_105,tumor_035,test_023
23,normal_097,tumor_062,test_024
24,normal_028,tumor_022,test_025
25,normal_009,tumor_075,test_026
26,normal_041,tumor_049,test_027
27,normal_002,tumor_039,test_028
28,normal_021,tumor_024,test_029
29,normal_058,tumor_033,test_030
30,normal_055,tumor_036,test_031
31,normal_106,tumor_100,test_032
32,normal_014,tumor_017,test_033
33,normal_035,tumor_009,test_034
34,normal_085,tumor_109,test_035
35,normal_155,tumor_020,test_036
36,normal_061,tumor_059,test_037
37,normal_012,tumor_053,test_038
38,normal_073,,test_039
39,normal_135,,test_040
40,normal_142,,test_041
41,normal_023,,test_042
42,normal_053,,test_043
43,normal_152,,test_044
44,normal_148,,test_045
45,normal_059,,test_046
46,normal_078,,test_047
47,normal_027,,test_048
48,normal_109,,test_050
49,normal_157,,test_051
50,normal_018,,test_052
51,normal_056,,test_053
52,normal_088,,test_054
53,normal_100,,test_055
54,normal_045,,test_056
55,normal_121,,test_057
56,normal_125,,test_058
57,normal_077,,test_059
58,normal_039,,test_060
59,normal_103,,test_061
60,normal_066,,test_062
61,normal_112,,test_063
62,normal_123,,test_064
63,normal_029,,test_065
64,normal_124,,test_066
65,normal_150,,test_067
66,normal_063,,test_068
67,normal_115,,test_069
68,normal_026,,test_070
69,normal_038,,test_071
70,normal_136,,test_072
71,normal_030,,test_073
72,normal_151,,test_074
73,normal_025,,test_075
74,normal_134,,test_076
75,normal_047,,test_077
76,normal_089,,test_078
77,normal_074,,test_079
78,normal_130,,test_080
79,normal_081,,test_081
80,normal_159,,test_082
81,normal_127,,test_083
82,normal_128,,test_084
83,normal_001,,test_085
84,normal_050,,test_086
85,normal_117,,test_087
86,normal_160,,test_088
87,normal_032,,test_089
88,normal_031,,test_090
89,normal_043,,test_091
90,normal_149,,test_092
91,normal_079,,test_093
92,normal_099,,test_094
93,normal_076,,test_095
94,normal_040,,test_096
95,normal_082,,test_097
96,normal_069,,test_098
97,normal_126,,test_099
98,normal_068,,test_100
99,normal_153,,test_101
100,normal_049,,test_102
101,normal_015,,test_103
102,normal_122,,test_104
103,normal_033,,test_105
104,normal_005,,test_106
105,normal_024,,test_107
106,normal_146,,test_108
107,normal_004,,test_109
108,normal_019,,test_110
109,normal_158,,test_111
110,normal_138,,test_112
111,normal_143,,test_113
112,normal_034,,test_114
113,normal_067,,test_115
114,normal_131,,test_116
115,normal_118,,test_117
116,normal_070,,test_118
117,normal_139,,test_119
118,normal_140,,test_120
119,normal_116,,test_121
120,normal_107,,test_122
121,normal_094,,test_123
122,normal_091,,test_124
123,normal_044,,test_125
124,normal_104,,test_126
125,normal_102,,test_127
126,normal_008,,test_128
127,normal_071,,test_129
128,normal_052,,test_130
129,normal_022,,
130,normal_154,,
131,normal_054,,
132,normal_062,,
133,normal_003,,
134,normal_129,,
135,tumor_110,,
136,tumor_085,,
137,tumor_103,,
138,tumor_025,,
139,tumor_007,,
140,tumor_066,,
141,tumor_030,,
142,tumor_076,,
143,tumor_079,,
144,tumor_041,,
145,tumor_058,,
146,tumor_065,,
147,tumor_096,,
148,tumor_097,,
149,tumor_034,,
150,tumor_002,,
151,tumor_064,,
152,tumor_051,,
153,tumor_101,,
154,tumor_026,,
155,tumor_045,,
156,tumor_042,,
157,tumor_087,,
158,tumor_050,,
159,tumor_082,,
160,tumor_013,,
161,tumor_092,,
162,tumor_032,,
163,tumor_038,,
164,tumor_111,,
165,tumor_006,,
166,tumor_068,,
167,tumor_091,,
168,tumor_090,,
169,tumor_052,,
170,tumor_095,,
171,tumor_011,,
172,tumor_098,,
173,tumor_108,,
174,tumor_018,,
175,tumor_074,,
176,tumor_104,,
177,tumor_010,,
178,tumor_077,,
179,tumor_106,,
180,tumor_061,,
181,tumor_078,,
182,tumor_093,,
183,tumor_027,,
184,tumor_012,,
185,tumor_008,,
186,tumor_004,,
187,tumor_071,,
188,tumor_019,,
189,tumor_001,,
190,tumor_028,,
191,tumor_048,,
192,tumor_005,,
193,tumor_023,,
194,tumor_031,,
195,tumor_055,,
196,tumor_094,,
197,tumor_069,,
198,tumor_084,,
199,tumor_040,,
200,tumor_086,,
201,tumor_029,,
202,tumor_044,,
203,tumor_072,,
204,tumor_056,,
205,tumor_070,,
206,tumor_037,,
207,tumor_054,,
208,tumor_021,,
209,normal_144,,
210,normal_011,,
211,tumor_080,,
212,tumor_107,,
213,tumor_063,,
214,tumor_047,,
215,tumor_016,,
216,tumor_105,,
217,tumor_046,,
218,tumor_073,,
219,tumor_003,,
220,tumor_088,,
221,tumor_060,,
222,tumor_102,,
223,tumor_099,,
224,tumor_089,,
225,tumor_043,,
226,tumor_015,,
227,tumor_014,,
228,tumor_083,,
229,tumor_067,,
230,tumor_057,,
231,tumor_081,,
