,train,val,test
0,normal_145,normal_033,test_001
1,normal_083,normal_005,test_002
2,normal_110,normal_087,test_003
3,normal_095,normal_041,test_004
4,normal_114,normal_003,test_005
5,normal_013,normal_128,test_006
6,normal_101,normal_014,test_007
7,normal_048,normal_035,test_008
8,normal_057,normal_030,test_009
9,normal_046,normal_103,test_010
10,normal_020,normal_066,test_011
11,normal_098,normal_050,test_012
12,normal_092,normal_133,test_013
13,normal_111,normal_121,test_014
14,normal_137,normal_140,test_015
15,normal_060,normal_093,test_016
16,normal_006,normal_064,test_017
17,normal_147,normal_039,test_018
18,normal_007,normal_150,test_019
19,normal_096,normal_016,test_020
20,normal_156,normal_029,test_021
21,normal_072,normal_151,test_022
22,normal_105,normal_017,test_023
23,normal_097,normal_130,test_024
24,normal_028,tumor_107,test_025
25,normal_009,tumor_057,test_026
26,normal_002,tumor_106,test_027
27,normal_021,tumor_059,test_028
28,normal_058,tumor_016,test_029
29,normal_055,tumor_003,test_030
30,normal_106,tumor_026,test_031
31,normal_085,tumor_045,test_032
32,normal_155,tumor_091,test_033
33,normal_061,tumor_002,test_034
34,normal_012,tumor_074,test_035
35,normal_073,tumor_022,test_036
36,normal_135,tumor_082,test_037
37,normal_142,tumor_032,test_038
38,normal_090,tumor_038,test_039
39,normal_023,tumor_075,test_040
40,normal_053,tumor_049,test_041
41,normal_152,tumor_047,test_042
42,normal_148,,test_043
43,normal_059,,test_044
44,normal_078,,test_045
45,normal_027,,test_046
46,normal_109,,test_047
47,normal_157,,test_048
48,normal_018,,test_050
49,normal_056,,test_051
50,normal_088,,test_052
51,normal_100,,test_053
52,normal_045,,test_054
53,normal_125,,test_055
54,normal_077,,test_056
55,normal_112,,test_057
56,normal_010,,test_058
57,normal_113,,test_059
58,normal_123,,test_060
59,normal_124,,test_061
60,normal_065,,test_062
61,normal_063,,test_063
62,normal_080,,test_064
63,normal_115,,test_065
64,normal_026,,test_066
65,normal_038,,test_067
66,normal_136,,test_068
67,normal_119,,test_069
68,normal_025,,test_070
69,normal_134,,test_071
70,normal_047,,test_072
71,normal_089,,test_073
72,normal_074,,test_074
73,normal_141,,test_075
74,normal_081,,test_076
75,normal_159,,test_077
76,normal_127,,test_078
77,normal_001,,test_079
78,normal_117,,test_080
79,normal_160,,test_081
80,normal_032,,test_082
81,normal_031,,test_083
82,normal_043,,test_084
83,normal_149,,test_085
84,normal_079,,test_086
85,normal_108,,test_087
86,normal_099,,test_088
87,normal_076,,test_089
88,normal_040,,test_090
89,normal_082,,test_091
90,normal_075,,test_092
91,normal_069,,test_093
92,normal_036,,test_094
93,normal_126,,test_095
94,normal_068,,test_096
95,normal_153,,test_097
96,normal_049,,test_098
97,normal_015,,test_099
98,normal_122,,test_100
99,normal_132,,test_101
100,normal_120,,test_102
101,normal_084,,test_103
102,normal_024,,test_104
103,normal_146,,test_105
104,normal_004,,test_106
105,normal_019,,test_107
106,normal_158,,test_108
107,normal_138,,test_109
108,normal_143,,test_110
109,normal_034,,test_111
110,normal_067,,test_112
111,normal_131,,test_113
112,normal_118,,test_114
113,normal_070,,test_115
114,normal_139,,test_116
115,normal_116,,test_117
116,normal_042,,test_118
117,normal_107,,test_119
118,normal_094,,test_120
119,normal_051,,test_121
120,normal_037,,test_122
121,normal_091,,test_123
122,normal_044,,test_124
123,normal_104,,test_125
124,normal_102,,test_126
125,normal_008,,test_127
126,normal_071,,test_128
127,normal_052,,test_129
128,normal_022,,test_130
129,normal_154,,
130,normal_054,,
131,normal_062,,
132,normal_129,,
133,tumor_110,,
134,tumor_085,,
135,tumor_103,,
136,tumor_025,,
137,tumor_007,,
138,tumor_066,,
139,tumor_030,,
140,tumor_076,,
141,tumor_079,,
142,tumor_041,,
143,tumor_058,,
144,tumor_065,,
145,tumor_017,,
146,tumor_096,,
147,tumor_097,,
148,tumor_034,,
149,tumor_109,,
150,tumor_064,,
151,tumor_051,,
152,tumor_101,,
153,tumor_042,,
154,tumor_087,,
155,tumor_050,,
156,tumor_039,,
157,tumor_013,,
158,tumor_092,,
159,tumor_111,,
160,tumor_006,,
161,tumor_068,,
162,tumor_090,,
163,tumor_052,,
164,tumor_100,,
165,tumor_095,,
166,tumor_011,,
167,tumor_098,,
168,tumor_108,,
169,tumor_018,,
170,tumor_104,,
171,tumor_010,,
172,tumor_062,,
173,tumor_077,,
174,tumor_061,,
175,tumor_078,,
176,tumor_093,,
177,tumor_053,,
178,tumor_027,,
179,tumor_012,,
180,tumor_024,,
181,tumor_020,,
182,tumor_036,,
183,tumor_008,,
184,tumor_004,,
185,tumor_071,,
186,tumor_019,,
187,tumor_001,,
188,tumor_028,,
189,tumor_048,,
190,tumor_005,,
191,tumor_009,,
192,tumor_023,,
193,tumor_031,,
194,tumor_055,,
195,tumor_033,,
196,tumor_094,,
197,tumor_069,,
198,tumor_084,,
199,tumor_040,,
200,tumor_086,,
201,tumor_029,,
202,tumor_044,,
203,tumor_072,,
204,tumor_056,,
205,tumor_070,,
206,tumor_037,,
207,tumor_054,,
208,tumor_021,,
209,normal_144,,
210,normal_011,,
211,tumor_080,,
212,tumor_063,,
213,tumor_105,,
214,tumor_046,,
215,tumor_073,,
216,tumor_088,,
217,tumor_060,,
218,tumor_102,,
219,tumor_099,,
220,tumor_089,,
221,tumor_043,,
222,tumor_015,,
223,tumor_014,,
224,tumor_083,,
225,tumor_035,,
226,tumor_067,,
227,tumor_081,,
